"codmpio","ano","cod_dpto","depto","mpio","pobl_rur","pobl_urb","pobl_tot","indrural","altura","discapital","docen_total","t_establ","alumn_med","s11_ingles","s11_lectu","df_ing_propios","df_gast_inv","df_desemp_fisc","homicidios","extorsion","ataq_instpol","llegadas_pasajeros_nacionales","llegadas_internacionales","visitantes_extranjeros_no_residentes","visitantes_pnn","prestadores_de_servicios_turisticos_activos","establecimientos_de_alojamiento_y_hospedaje","actividades_terciarias","valor_agregado","participacion_terciarias","pdet","total_sisben","tasa_sisben","post","vocacion_turistica","tasa_homicidios","tasa_ataq_instpol","tasa_extorsion","log_t_establ","log_pobl_tot","tasa_docentes","tasa_alumnos_med","tasa_urbanizacion","valor_agregado_pc"
"05030",2020,"05","Antioquia","Amagá",16037,15246,31283,0.512642621994019,1400,29.8788566589355,200,26,506,46.8488082885742,48.8176078796387,88.44,77.02,78.74,20,4,,0,0,18,0,0,0,249.877067327917,531.806447248678,46.9864682199071,0,27107,86.6508966531343,1,0,63.9324872934181,,12.7864974586836,3.29583686600433,10.3508620637215,0.639324872934181,1.61749192852348,48.7357350637727,1.6999854465642
"05030",2021,"05","Antioquia","Amagá",15856,15912,31768,0.499118596315384,1400,29.8788566589355,195,25,534,45.4505805969238,47.3421440124512,89.8674229494314,81.0734365811822,83.121696260668,20,5,,0,0,55,0,0,0,297.26310535133,648.790686523186,45.8180290694888,0,17160,54.016620498615,1,0,62.9564341475699,,15.7391085368925,3.25809653802148,10.3662462505327,0.613825232938806,1.68093679174012,50.0881390078066,2.04227740658268
"05031",2013,"05","Antioquia","Amalfi",9777,11991,21768,0.449145525693893,1500,105.130867004395,221,58,375,48.1683578491211,,54.92,85.01,70.8,11,4,0,25,0,3,0,0,0,416.306548519313,501.866984575519,82.9515710963585,1,0,0,0,0,50.5328923190004,0,18.3755972069092,4.07753744390572,9.98824221840094,1.01525174568173,1.72271223814774,55.0854465270121,2.30552639000147
"05031",2014,"05","Antioquia","Amalfi",9816,12116,21932,0.447565197944641,1500,105.130867004395,215,58,346,46.7165184020996,47.5983047485352,63.3205329251367,87.7676618828772,73.6493591348901,19,3,0,8,0,3,0,0,0,431.902353200878,532.675379659096,81.0817187528526,1,0,0,0,0,86.6314061645085,0,13.6786430786066,4.07753744390572,9.99574763096143,0.980302753966806,1.57760350173263,55.2434798467992,2.42875879837268
"05031",2015,"05","Antioquia","Amalfi",9852,12236,22088,0.446034044027328,1500,105.130867004395,215,56,336,46.4001083374023,47.544994354248,66.0237085308594,86.0956504072194,72.7318215779054,15,2,0,0,0,6,0,0,0,452.240545822739,551.307346345731,82.0305676716185,1,0,0,0,0,67.9101774719305,0,9.05469032959073,4.04305126783455,10.0028350260368,0.973379210431003,1.52118797537124,55.3965954364361,2.49595864879451
"05031",2016,"05","Antioquia","Amalfi",9894,12359,22253,0.444614201784134,1500,105.130867004395,228,60,359,44.9380874633789,46.0724334716797,63.94,83.26,69.08,7,,0,0,0,9,0,0,0,527.235400926927,663.882280357386,79.4170015568275,1,23773,106.830539702512,0,0,31.4564328405159,0,,4.11087386417331,10.0102770467176,1.0245809553768,1.61326562710646,55.5385790679908,2.98333833801009
"05031",2017,"05","Antioquia","Amalfi",9937,12477,22414,0.443338990211487,1500,105.130867004395,229,60,339,45.4401779174805,46.918701171875,65.9144071913934,84.2397452583093,69.9963214721453,4,5,0,3,0,9,0,0,0,554.235142929876,667.643943535387,83.0135805613729,1,23960,106.89747479254,1,0,17.8459891139466,0,22.3074863924333,4.11087386417331,10.0174856565895,1.02168287677345,1.51244757740698,55.6661015436781,2.97869163708123
"05031",2018,"05","Antioquia","Amalfi",11454,14508,25962,0.441183269023895,1500,105.130867004395,228,60,351,44.9825630187988,45.400562286377,63.96699895,83.63308706,70.52815809,8,7,0,15,0,4,0,0,0,615.55951478965,742.754064566922,82.8752805477497,1,24016,92.5044295508821,1,0,30.8142670056236,0,26.9624836299207,4.11087386417331,10.1644277265449,0.878206609660273,1.35197596487174,55.8816732146984,2.86092775813467
"05031",2019,"05","Antioquia","Amalfi",11481,15071,26552,0.432396799325943,1500,105.130867004395,243,64,358,45.2394599914551,47.1498985290527,65.2901045354448,84.7541472266093,70.3872716745525,15,13,0,12,0,13,0,0,0,674.765728657888,797.022298134053,84.6608344882714,1,23412,88.1741488400121,1,0,56.4929195540826,0,48.9605302802049,4.17438726989564,10.186898014637,0.915185296776137,1.3482976800241,56.7603193733052,3.00174110475314
"05031",2020,"05","Antioquia","Amalfi",11472,15599,27071,0.423774510622025,1500,105.130867004395,224,64,379,45.3868293762207,46.897834777832,65.04,77.36,55.47,7,4,,5,0,7,0,0,0,744.112393696998,873.553235166659,85.1822606500947,1,23102,85.3385541723616,1,0,25.8579291492741,,14.7759595138709,4.17438726989564,10.2062552624059,0.827453732776772,1.40002216393927,57.6225481142182,3.22689680900838
